DATE,Nominal GDP,Real Gross Domestic Product,CPI,Currency in Circulation,Federal Funds Effective Rate
1985-03-31,4230.168,7829.26,44.835039961971766,179.3116666666667,8.475111111111111
1985-06-30,4294.887,7898.194,45.242886937786466,182.87400000000002,7.924395604395603
1985-09-30,4386.773,8018.809,45.52416071421036,187.91933333333336,7.900978260869565
1985-12-31,4444.094,8078.415,45.988262445309836,191.5533333333333,8.104456521739133
1986-03-31,4507.894,8153.829,46.227345155270136,192.535,7.826888888888884
1986-06-30,4545.34,8190.552,46.00232613413104,196.32000000000002,6.918461538461545
1986-09-30,4607.669,8268.935,46.28359991055493,201.11566666666667,6.209456521739129
1986-12-31,4657.627,8313.338,46.60706475344244,205.18033333333332,6.266739130434782
1987-03-31,4722.156,8375.274,47.16961230629027,207.22866666666667,6.222555555555557
1987-06-30,4806.16,8465.63,47.704032481495666,211.793,6.649999999999999
1987-09-30,4884.555,8539.075,48.210325279058736,216.79533333333333,6.8395652173913035
1987-12-31,5007.994,8685.694,48.660363321337,222.65066666666667,6.9196739130434795
1988-03-31,5073.372,8730.569,49.04008291950927,225.44566666666665,6.66593406593407
1988-06-30,5190.036,8845.28,49.602630472357106,230.448,7.15494505494505
1988-09-30,5282.835,8897.107,50.20736909166853,236.1,7.983478260869564
1988-12-31,5399.509,9015.661,50.75585295569516,240.381,8.468478260869563
1989-03-31,5511.253,9107.314,51.33246419736417,242.23433333333332,9.446444444444442
1989-06-30,5612.463,9176.827,52.162221837814734,245.69633333333334,9.725714285714291
1989-09-30,5695.365,9244.816,52.570068813629405,249.37966666666668,9.083586956521737
1989-12-31,5747.237,9263.033,53.10448898883484,252.19533333333334,8.614456521739132
1990-03-31,5872.701,9364.259,54.018628762212565,256.15933333333334,8.247999999999998
1990-06-30,5960.028,9398.243,54.55304893741797,262.469,8.239340659340659
1990-09-30,6015.116,9404.494,55.4953160884381,270.64866666666666,8.160217391304343
1990-12-31,6004.733,9318.876,56.43758323945817,278.1933333333333,7.743369565217389
1991-03-31,6035.178,9275.276,56.8594939040941,285.09833333333336,6.430444444444442
1991-06-30,6126.862,9347.597,57.19702243580277,288.9073333333333,5.864065934065931
1991-09-30,6205.937,9394.834,57.632996789259835,294.0026666666667,5.645217391304345
1991-12-31,6264.54,9427.581,58.1111622091805,299.2666666666667,4.818478260869565
1992-03-31,6363.102,9540.444,58.50494549617397,302.7803333333333,4.024285714285713
1992-06-30,6470.763,9643.893,58.95498353845224,307.6556666666667,3.7740659340659364
1992-09-30,6566.641,9739.185,59.40502158073047,315.6523333333334,3.259239130434782
1992-12-31,6680.803,9840.753,59.925378067114735,324.57633333333337,3.034891304347828
1993-03-31,6729.459,9857.185,60.3613524205718,330.48633333333333,3.0423333333333344
1993-06-30,6808.939,9914.565,60.797326774028825,338.53400000000005,2.9972527472527473
1993-09-30,6882.098,9961.873,61.07860055045276,348.3723333333333,3.0577173913043483
1993-12-31,7013.738,10097.362,61.58489334801583,356.85999999999996,2.9882608695652193
1994-03-31,7115.652,10195.338,61.894294502082126,364.3036666666667,3.209333333333334
1994-06-30,7246.931,10333.495,62.245886722612,374.103,3.9380219780219794
1994-09-30,7331.075,10393.898,62.822497964281034,384.724,4.485434782608695
1994-12-31,7455.288,10512.962,63.18815387363213,393.384,5.167934782608696
1995-03-31,7522.289,10550.251,63.65225560473157,398.958,5.802777777777776
1995-06-30,7580.997,10581.723,64.17261209111582,407.2806666666667,6.019120879120879
1995-09-30,7683.125,10671.738,64.49607693400331,410.85633333333334,5.797173913043481
1995-12-31,7772.586,10744.203,64.84766915453321,414.5783333333334,5.719456521739132
1996-03-31,7868.468,10824.674,65.42428039620224,415.676,5.370989010989011
1996-06-30,8032.84,11005.217,65.98682794905007,420.29299999999995,5.243956043956042
1996-09-30,8131.408,11103.935,66.36654754722237,429.74766666666665,5.30619565217391
1996-12-31,8259.771,11219.238,66.94315878889137,437.2556666666667,5.280869565217388
1997-03-31,8362.655,11291.665,67.35100576470599,442.8916666666667,5.278444444444442
1997-06-30,8518.825,11479.33,67.5057063417392,448.5886666666667,5.5221978021978
1997-09-30,8662.823,11622.911,67.84323487344786,456.897,5.534673913043477
1997-12-31,8765.907,11722.722,68.208890782799,466.9913333333334,5.507391304347825
1998-03-31,8866.48,11839.876,68.3495276710109,473.17,5.519333333333334
1998-06-30,8969.699,11949.492,68.57454669215004,478.56766666666664,5.497472527472529
1998-09-30,9121.097,12099.191,68.92613891267996,488.3576666666666,5.531630434782608
1998-12-31,9293.991,12294.737,69.24960375556743,502.5606666666667,4.86054347826087
1999-03-31,9411.682,12410.778,69.502750154349,511.73,4.734555555555556
1999-06-30,9526.21,12514.408,70.0231066407332,523.4466666666667,4.747692307692309
1999-09-30,9686.626,12679.977,70.54346312711748,536.942,5.09554347826087
1999-12-31,9900.169,12888.281,71.06381961350168,570.47,5.304021739130434
2000-03-31,10002.179,12935.252,71.7670040545615,574.8426666666666,5.6776923076923085
2000-06-30,10247.72,13170.749,72.3295516074093,566.301,6.271978021978021
2000-09-30,10318.165,13183.89,72.99054498200546,570.402,6.519456521739131
2000-12-31,10435.744,13262.25,73.51090146838978,576.5333333333333,6.474891304347829
