DATE,Monetary Base,Currency in Circulation,Gross Domestic Product,Real Gross Domestic Product,U.S. / Euro Foreign Exchange Rate,U.S. / U.K. Foreign Exchange Rate
1982-06-30,170133.33333333334,,3331.972,6830.251,,1.7785609375000002
1982-09-30,173600.0,,3366.322,6804.139,,1.724128125
1982-12-31,177733.33333333334,,3402.561,6806.857,,1.646767741935484
1983-03-31,177733.33333333334,,3473.413,6896.561,,1.5314809523809523
1983-06-30,181566.66666666666,,3578.848,7053.5,,1.5520203124999994
1983-09-30,185200.0,,3689.179,7194.504,,1.5089999999999997
1983-12-31,189233.33333333334,,3794.706,7344.597,,1.4684133333333336
1984-03-31,189066.66666666666,168.29046153846153,3908.054,7488.167,,1.4351112903225802
1984-06-30,193566.66666666666,172.46430769230773,4009.601,7617.547,,1.39573125
1984-09-30,197366.66666666666,176.32138461538463,4084.25,7690.985,,1.2983190476190478
1984-12-31,201166.66666666666,178.57292307692308,4148.551,7754.117,,1.2147131147540988
1985-03-31,202033.33333333334,179.4153076923077,4230.168,7829.26,,1.1162700000000003
1985-06-30,207466.66666666666,182.8423076923077,4294.887,7898.194,,1.2548250000000005
1985-09-30,213266.66666666666,187.87830769230771,4386.773,8018.809,,1.3767015625000003
1985-12-31,220066.66666666666,191.34069230769228,4444.094,8078.415,,1.4349209677419348
1986-03-31,220300.0,192.66053846153847,4507.894,8153.829,,1.4408393442622949
1986-06-30,227200.0,196.15515384615387,4545.34,8190.552,,1.5092218749999993
1986-09-30,233766.66666666666,201.07661538461542,4607.669,8268.935,,1.4879656249999997
1986-12-31,242533.33333333334,205.2192142857143,4657.627,8313.338,,1.430224193548388
1987-03-31,244766.66666666666,207.22824999999997,4722.156,8375.274,,1.543775409836065
1987-06-30,251033.33333333334,211.5969230769231,4806.16,8465.63,,1.6414953125000005
1987-09-30,255233.33333333334,216.79285714285714,4884.555,8539.075,,1.6174430769230768
1987-12-31,262466.6666666667,222.9776923076923,5007.994,8685.694,,1.7559145161290324
1988-03-31,263466.6666666667,225.41838461538464,5073.372,8730.569,,1.799051612903226
1988-06-30,270100.0,230.65646153846154,5190.036,8845.28,,1.8404890624999999
1988-09-30,275266.6666666667,236.07699999999997,5282.835,8897.107,,1.6950921875
1988-12-31,279466.6666666667,240.34199999999998,5399.509,9015.661,,1.7916032786885248
1989-03-31,278766.6666666667,242.1972307692308,5511.253,9107.314,,1.745120967741935
1989-06-30,281966.6666666667,245.67623076923078,5612.463,9176.827,,1.6258859374999994
1989-09-30,284533.3333333333,249.35223076923074,5695.365,9244.816,,1.5975238095238096
1989-12-31,288766.6666666667,252.11953846153847,5747.237,9263.033,,1.5853290322580644
1990-03-31,291066.6666666667,256.23407692307694,5872.701,9364.259,,1.6554951612903224
1990-06-30,298800.0,262.428,5960.028,9398.243,,1.67499375
1990-09-30,305666.6666666667,270.59830769230774,6015.116,9404.494,,1.8642047619047621
1990-12-31,312600.0,277.8989230769231,6004.733,9318.876,,1.9439467741935488
1991-03-31,309200.0,285.08369230769233,6035.178,9275.276,,1.904839344262295
1991-06-30,315500.0,288.857,6126.862,9347.597,,1.7095437500000001
1991-09-30,320633.3333333333,293.95084615384616,6205.937,9394.834,,1.6860562500000005
1991-12-31,328966.6666666667,298.96792307692306,6264.54,9427.581,,1.7756806451612899
1992-03-31,333300.0,302.8852307692307,6363.102,9540.444,,1.7692258064516133
1992-06-30,334900.0,307.4518461538461,6470.763,9643.893,,1.8069828125
1992-09-30,343333.3333333333,315.6527142857143,6566.641,9739.185,,1.9029892307692309
1992-12-31,355866.6666666667,324.9882307692308,6680.803,9840.753,,1.5781
1993-03-31,360933.3333333333,330.5583076923077,6729.459,9857.185,,1.47685737704918
1993-06-30,371800.0,338.8381538461539,6808.939,9914.565,,1.5331156249999998
1993-09-30,381566.6666666667,348.5443846153846,6882.098,9961.873,,1.5036890625000001
1993-12-31,392933.3333333333,357.23746153846156,7013.738,10097.362,,1.491446031746032
1994-03-31,398833.3333333333,364.46476923076926,7115.652,10195.338,,1.4881370967741936
1994-06-30,408533.3333333333,374.4316923076923,7246.931,10333.495,,1.5045828124999994
1994-09-30,415733.3333333333,384.6832307692308,7331.075,10393.898,,1.5514562499999995
1994-12-31,423433.3333333333,393.37092307692313,7455.288,10512.962,,1.584327868852459
1995-03-31,425600.0,399.02392307692304,7522.289,10550.251,,1.5833016129032256
1995-06-30,434100.0,407.33653846153845,7580.997,10581.723,,1.5961515625
1995-09-30,435900.0,410.8053076923076,7683.125,10671.738,,1.5733158730158732
1995-12-31,440500.0,414.48453846153853,7772.586,10744.203,,1.5606225806451615
1996-03-31,439300.0,415.9043076923077,7868.468,10824.674,,1.5305112903225802
1996-06-30,444266.6666666667,420.21799999999996,8032.84,11005.217,,1.5237484374999994
1996-09-30,450900.0,429.6125384615385,8131.408,11103.935,,1.5538953124999997
1996-12-31,458166.6666666667,436.87607692307694,8259.771,11219.238,,1.6358935483870964
1997-03-31,461566.6666666667,443.02938461538463,8362.655,11291.665,,1.6314180327868855
1997-06-30,467433.3333333333,448.36838461538457,8518.825,11479.33,,1.6353578125
1997-09-30,474266.6666666667,456.79376923076927,8662.823,11622.911,,1.625425
1997-12-31,485133.3333333333,467.0702142857143,8765.907,11722.722,,1.6587080645161294
1998-03-31,490200.0,473.1699999999999,8866.48,11839.876,,1.6465098360655732
1998-06-30,495800.0,478.3531538461539,8969.699,11949.492,,1.6541093750000002
1998-09-30,505300.0,488.40042857142856,9121.097,12099.191,,1.6530830769230769
1998-12-31,519100.0,503.12892307692294,9293.991,12294.737,,1.6758209677419351
1999-03-31,528433.3333333334,511.9363076923077,9411.682,12410.778,1.1204196721311477,1.6321442622950826
1999-06-30,539933.3333333334,523.8358461538462,9526.21,12514.408,1.056734375,1.6061453125
1999-09-30,552333.3333333334,537.2774615384615,9686.626,12679.977,1.049278125,1.6019281250000004
1999-12-31,586666.6666666666,572.4313076923077,9900.169,12888.281,1.036831746031746,1.629476190476191
2000-03-31,585666.6666666666,573.9857692307692,10002.179,12935.252,0.9858603174603172,1.6054825396825398
2000-06-30,580400.0,566.2649230769231,10247.72,13170.749,0.9334328125,1.5319921875
2000-09-30,583800.0,570.3183846153847,10318.165,13183.89,0.9042126984126984,1.477268253968254
2000-12-31,591300.0,576.4158461538461,10435.744,13262.25,0.8681887096774195,1.4461758064516124
2001-03-31,597900.0,584.3040769230769,10470.231,13219.251,0.9219580645161287,1.4581161290322582
2001-06-30,605566.6666666666,591.0429230769231,10599.0,13301.394,0.8736234374999998,1.4211781250000004
2001-09-30,628533.3333333334,606.6494615384615,10598.02,13248.142,0.8907838709677418,1.4373177419354841
2001-12-31,641833.3333333334,621.818,10660.465,13284.881,0.8951387096774192,1.4425758064516132
2002-03-31,655800.0,636.8823846153846,10783.5,13394.91,0.8770327868852459,1.4261065573770495
2002-06-30,668666.6666666666,648.8368461538461,10887.46,13477.356,0.9185578124999999,1.4614624999999997
