ISO_Code,Year,EFW,Size of Government,Legal System & Property Rights,Sound Money,Freedom to trade internationally,Regulation,RGDP Per Capita,RGDP Per Capita Lag,Log RGDP Per Capita,Log RGDP Per Capita Lag,North America,Inflation
AUS,1/1/10,0.021475332,-0.027369771,0.079850763,0.065562615,-0.141689523,0.131022578,-448,-867,-0.009758725,-0.018619473,0,2.936231536
AUS,1/1/09,-0.032481728,-0.433569938,0.023351587,0.151289855,-0.005246343,0.101766203,-437,-448,-0.009611758,-0.009758725,0,8.952970203
AUS,1/1/08,0.101710709,0.539838571,0.068400111,-0.197992655,-0.041991219,0.140298738,13,-437,0.000287271,-0.009611758,0,4.816767674
AUS,1/1/07,0.092482962,0.04262125,0.233599103,0.076230792,0.070424102,0.039539563,-115,13,-0.002544108,0.000287271,0,4.282396048
AUS,1/1/06,-0.032908868,-0.068158371,0.015771684,-0.038970274,-0.037801705,-0.035385673,-1144,-115,-0.025667171,-0.002544108,0,4.112183912
AUS,1/1/05,-0.06201139,-0.310303001,0.053038414,-0.022922591,-0.023064922,-0.00680485,-500,-1144,-0.011428435,-0.025667171,0,3.382646819
AUS,1/1/04,-0.162779519,-0.190713864,-0.342451584,-0.084910431,0.007280206,-0.203101921,-790,-500,-0.018327428,-0.011428435,0,3.032139473
AUS,1/1/03,0.032260295,0.025612832,0.139389431,-0.079642498,0.133713309,-0.0577716,-1167,-790,-0.027703392,-0.018327428,0,2.981574539
AUS,1/1/02,-0.019958034,0.00722206,0.103534936,-0.066568688,-0.031085868,-0.11289261,-752,-1167,-0.018267123,-0.027703392,0,3.838284639
AUS,1/1/01,-0.013880968,-0.04012712,0.039243164,0.123122824,0.210534777,-0.402178483,-1119,-752,-0.027815128,-0.018267123,0,3.494464976
AUT,1/1/14,0.034770069,0.036663926,0.040064289,-0.004501127,0.200158699,-0.098535443,44,-151,0.001064963,-0.003650036,0,2.621050017
AUT,1/1/13,-0.047381034,0.008115335,-0.052845858,0.01594565,-0.506233834,0.298113536,37,44,0.00089466,0.001064963,0,3.725326661
AUT,1/1/12,-0.007574534,0.098290633,-0.008119499,-0.090366956,-0.032850479,-0.00482637,190,37,0.004581633,0.00089466,0,4.82239636
AUT,1/1/11,0.029812777,0.011228565,0.010318726,0.048089301,0.057442952,0.021984343,-119,190,-0.002867092,0.004581633,0,3.338979636
AUT,1/1/10,-0.016413636,-0.292349464,0.075469999,0.056294961,0.064745581,0.013770744,-996,-119,-0.024324732,-0.002867092,0,2.936231536
AUT,1/1/09,0.03953671,-0.042397159,0.157235415,-0.064492998,0.125831238,0.021507053,-669,-996,-0.016677232,-0.024324732,0,8.952970203
AUT,1/1/08,0.051558661,0.176277163,0.137990596,-0.033946309,0.000591535,-0.023119682,1679,-669,0.041339696,-0.016677232,0,4.816767674
AUT,1/1/07,0.111347697,0.073146218,0.286042249,0.014565882,0.114116842,0.068867294,-504,1679,-0.012230787,0.041339696,0,4.282396048
